tweet,label
"blankets , towels , dry food , "" soft "" food ( like canned fruits ) , some other misc. stuff I picked up , water ( 4 cases of 24 and 2 gallon jugs )",Food
Power 's out ... Thanks Sandy. Thanks.,None
"Drinking everytime I hear "" hurricane "" "" sandy "" "" east haven "" or "" new haven "" on the radio ... Alone .....",None
And I need baby supplies and cleaning supplies and blankets and food,Food
"New drop off location in Astoria for Broad Channel and rockaway residents ! 23-80 28th st apt 1 in astoria ! We are getting together people to travel to these areas to donate supplies , food , work gloves , baby items , ad sooo much more ! Please contact me at * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * or * * * * * * * * * * * * * * * * * * for hrs to drop items off ! Also , make sure you follow Www.facebook.com/sandyreliefinastoria For updated info ! ! !",Food
"I can give clothing , non perishables and hygeine products",Food
Another storm coming next week ............,None
@ BinStunting just Tryna escape sandy .... u have a gr8 weekend too,None
"I am able and willing to help where I can , whether it be cleaning , food delivery or hand outs , etc.",Food
Power strips Toiletries Toilet paper,Energy
"We are not currently accepting clothing or furniture donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at one of several drop locations where supplies can be brought directly. Here is a list of those locations : https : //astoria.recovers.org/news/50aa96704eae35688600003f",Food
"I can provide sandwiches , fruit , food for kids/ babies , baby supplies , non perishable foods , hygiene products , paper , cups/plates/napkins",Food
water and batteries ! not much but it 's just sitting here.,Energy
"We can donate non-perishable food , clothing ( coats ) , tools , baby supplies , toys , hygiene products. I 'm sure you are getting a lot of requests but we can drop off supplies that are needed ( we live in park slope so not far from red hook ) .",Food
Non-perishable food. All I can carry/afford,Food
"Distribute food , pack supplies",Food
canned food,Food
Where the hell are you ? .............. Sandy,None
baby supplies hygiene products non perishable foods,Food
We have clothes and brand new shoes for all sizes we have baby diapers car seats high chair and some other baby items we have hygine products like wipes toothbrush ect. Also have some food items non perishable and have kids toys. We also have a bike. And blankets ! And possibly some cleaning products.,Food
This is bad my building has no heat hot water or power .I lost a lot in this storm my car work hours and over 300 hundred dollars in food .,None
"We have canned food and t-shirts , plus other limited clothing.",Food
I would also be happy to donate whatever food and supplies are most needed.,Food
"Clothing donation , and $ to buy supplies , water , food",Food
"Pans of cornbread , baked ziti , kids coats and clothes.",Food
Sooooo .... the house just shook a little. # windy # ctsandy # Bridgeport,None
Canned yams,Food
New Yorkers food is the big hurricane issue. No MTA means no workers for stores. Closed bridges means limited resupply. # Sandy,None
"I have children 's clothing , adult clothing , children 's toys and books and a little food.",Food
Can provide temporary shelter and food in our home for 2-3 individuals or a small family.,Food
"would like to help out distributing supplies , food , etc.",Food
"i have clothes , water , and hygiene supplies",Water
"We are not currently accepting clothing or furniture donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at one of several drop locations where supplies can be brought directly. Here is a list of those locations : https : //astoria.recovers.org/news/50aa96704eae35688600003f",Food
"I have two blankets , two sets of sheets , two slightly worn pairs of mens sneakers , D batteries , and a few clothing items. All fabric items are used.",Energy
batteries,Energy
"I 've got about 5 lbs ( dry ) of pasta I can make and bring somewhere , and can probably manage a couple quarts of soup ( chicken based , non-vegetarian ) . Located in Clinton Hill/Fort Greene , but can try to get somewhere close by with it.",Food
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
"People on the Lower East Side need batteries , ice and can good",Energy
Working in this hurricane shelter ..... If the city puts money on the table I 'm taking it !,None
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
"Items from the drugstore or supermarket : Canned and non-perishable foods , toilet paper , hygiene products , otc medicines , socks and underwear , batteries , water , etc.",Food
"Clothes , coats , canned food , baked goods",Food
i am collecting food and clothing from friends and plan to drop it off sometime today after 6 o 'clock today,Food
"rain boots , hats , scarves , sweatshirts , hygiene products , flashlight , bottled water",Energy
"I have my friends ( a couple * * * * * * * * * * * * + * * * * * * * * * * * * ) +3 cats who need to get out ( hopefully with some belongings ) of their ruined home * * * * * * * * * * * * * * * * * * * * * * * . Their car was totaled. ( They bought a new van that needs parts and gas ) We have a place for them to stay in Manhattan East Village. I have a another friend with car in Queens ( she has done a couple supply trips to Rockaways and told me its getting a bit dangerous ! She isn 't going back until next saturday because of her limited gas ... ) - not far , but needs gas to transport them. I am in slight contact with them by their cell phone , they got a ride to JFK to make calls/use computer. I heard today they need to leave ; - ( and need help. Do you have any resources for gas or have people going there that can bring them out ? ? Any ideas how I can get them help ?",Energy
@ VeronicaVice be glad you have heat. I still have none from Hurricane Sandy.,Energy
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
"Cook with great organizational skills. Very resourceful. Can gather clothing , food , water and other donations.",Food
Powers out. Nothing left to do but lounge in my cow suit # survivingsandy dianatop # brenton @ Floodboken http : //t.co/EhbpzNIs,Energy
"I can donate clothing , non perishable food , hygiene products.",Food
"Clothes , adults , children & infants ... Stuffed animals .... Canned food , cereal",Food
So the battery situation here in the East Village ? C and D are no problem. AA and AAA ? Good luck with that. # ladies # priorities # Sandy,None
Junkfood & amp ; the mentalist in a nice quiet room : ) yepp I got it good sometimes # hurricanesandy,None
sooo not fond of # HurricaneSandy w/ her negatory vibes # flooding # poweroutage annnd to 1self flamin ' unnecessary # chinesefoodbaby,None
Coming up from Maryland for basketball game at Barclay 's Center on Friday night. Would like to bring some clothes blankets food toiletries etc to donate when we arrive tomorrow mid-day.,Food
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
I am grateful Hurricane Sandy didn 't wreck too much where I am and no flooding. I just have to deal with a power outtage. Stay strong !,Energy
"This request is for my mother and her many elderly neighbors at * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * . This is a 28 story building with no power , no phone service , and NO WATER since Monday. My mother on * * * * * * * * * * * * * * * * * * * * * * * * * * * and many others in building unable to get out for supplies/water , and unable to call since no phones. Bldg management unresponsive.",Energy
The 7-11 on 26th and 5th has set up tables outside with surge protectors for people to charge devices # sandy,Energy
@ StressFactoryCC a skeleton walked into a bar ... Ordered a beer and a mop ? ? ( work with me ... I 'm recovering from a hurricane ... : - ),None
Driving down from upstate. Will bring Cans of food Dog food Ensure Hats and gloves Cleaning supplies,Food
* * * * * * * * * * * * * * * * * * * * * * * * . ( Needs confirmation of location. ) May need food.,Food
"yes ... hello name is * * * * * * * * * * * * * * * * * * ... want to help out with my peers of kingsborough community college we are of project rise program ... whatever we can help with we will do ... i am willing to get clothes , food , blankets , etc ... whatever else may be needed even furniture ... i will gladly give to those who need ... however i do not have transportation ... i am getting a plan together with students and teachers for transportation and such ! ! ! but we need a volunteer group such as this to hook up with so we can all come together to restore ny ! ! !",Food
Still in the dark. # Sandy,Energy
"Ready to do any clean up work , dispensing food and goods.",Food
Nesquik Bunny # sandy relief contribution : lots of smiles & amp ; lots o @ Lower East Side - Mercy Chefs food truck http : //t.co/fHVw6Llx,None
"I can come down with supplies such as water , D batteries , LED Flashlights , clothing and other things needed. Please call * * * * * * * * * * * * * - I will try and contact you guys on 11/2 to see what you need. I will purchase as much as I can fit in my car up here in Syracuse , and bring them down 11/3 and volunteer my time the entire weekend. I am an elementary teacher. I can look after children as well.",Water
Blame it on the feminist ... # Sandy @ GoldsmithB : Wonder what Karl Rove says to his binder full of billionaires ...,None
"Holy cow , gas station is mad crazy ... Storm coming ? ? ? Lol # Sandy is a work ... # ChopDaddy Approved ...",None
I 'm thankful ...... I wasn 't badly affected by # HurricanSandy,None
@ CBSNewYork day 8 after hurricane and power lines still down in front of my house. PLease help http : //t.co/Z0oqfZUW,Energy
"if there is a shelter or food kitchen that needs general assistance serving people , I can help. I am a good listener.",Food
If this storm traps my family without access to food ..... oh wait ... won 't make a difference # NorthWallProblems.,None
# homemade # chickensoup # frankenstorm # sandy # comfortfood - not remotely chilly in the apt but # fee @ TriBeCa http : //t.co/4oyk3B4V,None
bad thing about living in garden city during hurricanes .... trees everywhere,None
Power out and hopefully no class till weds # hurricaneswag,Energy
The storm is coming ! ..... Mehh,None
# sandy ... in upper west side The situati in is under control ... no big damage only same tree is fallen ..,None
Shoutouts to the bike/moped delivery men that were forced to brave the storm by the lazy people who wanted comfort food during the storm.,None
I can provide some gluten-free food if anyone with Celiac Disease or other medical related issues needs it.,Food
"Waiting for Sandy ... Esperando a Sandrita ..... # ghosttown @ Manhattan , NY http : //t.co/mI3Olvin",None
Out here helping this community .... The things u see is incredible ... Keep these people in ur prayers .... # Sandy http : //t.co/zTFbQjht,None
I can purchase canned foods and bring them to surrounding neighborhoods. I 'm in the Brooklyn Heights/Cobble Hill area.,Food
"Thanks for all the calls/texts everyone ... I am safe in a place with electricity , cable , food and alcohol. Prayers to all affected. # sandy",None
"We have 10 bags organized with men 's women 's boys and girls , & babies all sizes ranging , organized of winter coats , clothing , blankets. Also bottled water , canned food , baby essentials such as diapers and food. We also have soap. Contact * * * * * * * * * * * * * * * * * * * at ( * * * * * * * * * * * * * * Email : * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",Food
"Our MS Center is holding a symposium on Sunday 11/4 and will have many left over bagged lunches which include sandwiches , an apple , a bag of chips and a cookie in a cooler bag. The sandwiches are perishable but we have ways to keep them cool in the cooler bags with gel packs if we need to. We would like for this extra food to go to the hurricane victims. The employees would be able to bring the bags of food wherever we need to as long as it is in Manhattan. Please contact me and let me know if this is possible to set up. My name is * * * * * * * * * * * * * * * * and my number is * * * * * * * * * * * * * . Thank you !",Food
"So I 'm going to go do my # Sandy prep errands. What to buy , in importance order : Beer , food , batteries , flashlight. Is that bad ?",None
"Please help. We are in need of non perishable food such as rice , pasta .baby food etc. We are in dire need of cleaning supplies due to flooding/water damage Clorox wipes,sponges,Cleaning sprays. Thank you for any assistance you can provide",Food
@ trinamariexox I hope Sandy blows open the window and makes all your food soggy and let 's walkers in. See ya in hell.,None
"Candles , water",Energy
Mom Dad Mansi Yash & amp ; ba are all home ....... # STFU # iwanttosleep # fusandy,None
"We are not currently accepting clothing or furniture donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at one of several drop locations where supplies can be brought directly. Here is a list of those locations : https : //astoria.recovers.org/news/50aa96704eae35688600003f",Food
Bring food and supplies.,Food
"Giving food , water , coats , blankets",Food
"Toys and books for kids under five , batteries , hygiene products , Trash bags.",Energy
"I live in Southern CA and My Mother & I Have a trip planned to NY Dec 9th. We still want to come and I would love to bring with us donations of Food , Clothing , Blankets Hygiene products etc. What ever is needed most. I can collect with Friends & Family here an bring with us when we come. Please let me know if I can/should do this and How I would go about getting the donations to you. Thank you , * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *",Food
Can bring canned goods if needed.,Food
"Hi , A * * * * * -- We are still taking donations of hygiene products. We are accepting feminine hygiene , toothpaste , DEODORANT has been a consistent request , & baby wipes at our drop location at : * * * * * * * * * * * * * * * * * * between 23rd ave and Ditmars Blvd",Medical
"License Vet tech , but interested helping people and clean up or doing paper work , cooking etc. I am a 62 year old healthy woman.",Medical
Over 25 people in line at Starbucks. People need coffee as much as they need food and gas post # Sandy ( @ Starbucks ) http : //t.co/T7G3fBJg,None
I can bring a meal for 100+ people. I have a group of excellent cooks waiting at the ready and we have a vehicle to bring it to a specific location. I have catered events so I know I could do this for you. We could come out Saturday or Sunday. Name the meal and the location and we 'll bring it !,Food
"Can help with administrative duties or distributing food , supplies",Food
With a few hours notice I can bring over enough hot meals to feed about 12-15 people.,Food
I 've had that song Breakfast at Tiffany 's stuck in my head for literally a week ... but it 's been replaced with Bon Jovi 's Hurricane ... FML,None
Awesome ! We are going to need hot food to transport mon-wed ! d * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,Food
To all our camp friends and families affected by the storm ... our thoughts are with you ... stay safe and warm. Your Woodmont Family,None
"General volunteer opportunities - shelters , resource distro , food banks , etc",Food
would like to make food/ serve food,Food
BB scouting team on the move ... FDR flooded ... # Sandy http : //t.co/Gvv2FQp3,None
Would love to help deliver food/ gather food for those who need it. But am willing to help in any way possible. I am able to get into the city and would love to help.,Food
WE WOULD LIKE TO DONATE HOT PIZZAS TODAY ! PLEASE LET US KNOW AS SOON AS WE CAN BRING THE PIZZAS SOMEWHERE THANKS BARI,Food
"This is my life homie you decide yours , hurricane sandy bring it on .....",None
Omg i hope i dont lose power from this storm lol jk my power is still off from the hurricane,Energy
"can of olives , can of chickpeas , bag of pasta , bag of hard pretzels , ( also have sneakers I can donate )",Food
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
"Small dining room table , blankets , non perishable food , toys",Food
"I have man 's sweater , jacket , and some T shirts of size M-L. I also have some non-perishable foods and uncooked rice to give.",Food
Able to bring some supplies to Red Hook on Sunday and Tuesday ; distribute food etc. ; clean ; sort donations,Food
"Hi , I sent an email earlier but I wasn 't signed into the website so I have no idea if the email went through. But my co-workers and I would like to donate as much as we can. We can donate clothing , non-perishable food , cleaning supplies , baby supplies , baby clothing , toys and other goods. If the need is great , we can reach out to our whole department of about 200 people and see what they would be willing to donate. I don 't have a vehicle to drop off the items but if it 's possible to pick up , that 'd be appreciated but I can definitely try to find a ride to drop it off. Thanks ! * * * * * * * * * * * * * * * * * *",Food
"I can give out food , pack donations",Food
"I am in Manhattan , I have a car and time to bring food or tools to SI ? this afternoon from 3-7pm",Food
No food until tomorrow # sandyaftermath @ D 'Agostino at 38th Street http : //t.co/Hr0I7Wzy,Food
How do # hurricanes get their names ? .....,None
"We are not currently accepting clothing donations at this time because we are unable to process them. There are very limited resources and facilities to sort , store , and distribute clothing in the disaster area -- there are literally piles of clothing going to waste as many people have severe damage to their homes and no dry place to keep them and they are getting moldy & dirty. Donations of gently used clothes should go to the Salvation Army or Goodwill accordingly. Donations of non perishable items such as ready to eat items ( tuna , soups , pasta , cereal ) , water , batteries , flashlights , and cleaning supplies are always welcome at our donation drop off at 23-74 38th st btwn 23rd ave & Astoria Blvd. Thanks !",Food
"To all of my peeps in the Hurricane 's path .. stay safe. I 'll be thinking of you all. # FF love one and all ..... , http : //t.co/ihW64e8Z",None
Small computer speakers and a battery operated radio,Energy
"coats , clothing , etc cat food",Food
I would be able to cook food and/or sandwiches and drop them off where necessary.,Food
@ jetdom @ sportsallday_ Knowing Dolan he will price gouge merch and food inside MSG tonight .. Lol # knicks # SandyNYC,None
bottled water,Water
"pick up and donate clothes , gloves , towels , blankets , water.",Water
"* * * * * * * * * * * * * called LES Recovers. She is in Howard Beach ( * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * ) . She needs gas for her car and generator , blankets , food , water and a transistor radio if she can get one. It is a family of 4 and they have food for around 2 days. She emphasized the need for gas. Her phone number is * * * * * * * * * * * * *",Food
Available for food and water aid as well,Food
Canned soup,Food
"Hygiene Products : soap , Listerine , shaving cream , cotton swabs. Non-perishable food : canned food Clothing : sweaters , boots , shirts Toys : board game , cards , stuffed animals , books",Food
"I 'd be happy to help with delivering food , supplies , etc",Food
"We are in dire need food such as rice , pasta , baby food. We also need cleaning supplies , such as clorox wipes , sponges , napklns etc.",Food
food distribution ! Cleaning !,Food
Late dinner ..... nyamchom ..... Times Sq. Sandy Edition : ) @ W New York - Times Square http : //t.co/y5lmoW9G,None
"I can donate clothes , help serve food , clean up and foster pets.",Food
My hometown Va Beach got the most rainfall ( 9+ inches ) but least damage .... weird how things turn out. # HurricaneSandy NYC,None
"i have general hand tools- drill , saw , etc.",Medical
"* * * * * has donated batteries , baby wipes and beans to * * * * * .",Energy
bottled water,Water
Hm. Think we charged enough batteries ? We aren 't just set for # Sandy we 're ready for the apocalypse on the # UWS in # NYC http : //t.co/Ob6oiO8z,None
"I have baby/toddler sweaters and sweatshirts , a couple heavy winter jackets ( one with a foot attachment ) , blankets , and a thick fleece snow suit. I also have a scarf , gloves , and a couple of sweaters for an adult. It 's not a lot , but I don 't need it out here in California. Can I mail it out to you ? I can also order diapers and wipes , batteries , etc. online if there 's a place I can send them to. Thanks.",Energy
"I can help by gathering items needed ( clothes , food , jackets , etc. ) and delivering to locatons that need it.",Food
"Hmm no power on the saint peters university campus , yet power on the blocks surronding it .. plus a no 'easter is coming ? Hmm ... # sandy",None
"Bottled water , blankets , clothes , non-perishable snacks , books",Food
# sandy # LipaSucks i still have no power yet no trees are down and no water issues but lipa does not have my power restored # DoyourWorkLipa,Energy
"I have sheets blankets pillows for children and adults. I have formula never opened baby clothes , children books , baby blankets adult sweaters",Food
this storm is no joke wtf .....,None
"assist in distribution of food , supplies , clothing.",Food
"I will be buying water , juice , socks , underwear , food , canned goods , sanitary napkins/ tampons , diapers , etc. Also donating old coats & clothing and just wanted to know where to go to dispense these things. Thanks.",Food
Just spent $100+ in food alone for myself in prep for # Frankenstorm looks like cooking parties are in store for the next few days ...,None
30 prepared hot meals,Food
baby supplies or prepared foods - are sandwiches or hot pasta acceptible ?,Food
Great thing about living in NYC ... you can buy water anywhere ... the bad thing ? Only being able to buy it in 16oz ... # Frankenstorm # zing,None
Batteries,Energy
"Nutritious soups , beans , chili , rice , and more. Some D and AAA batteries , small led lights.",Food
Another storm is coming on tuesday so be pepare people it time to go food shopping so get everything your need before the storm comes,None
"clothing , non-perishable foods , and hygiene products.",Food
I would like to distribute food and water to elderly who can 't get up and down their stairs,Food
"Cleaning supplies,trash bags , baby food , diapers",Food
"Clothing , non-perishable foods , hygiene products",Food
"Clothing , blankets , and some non-perishable food items for donation.",Food
"Help with clothing , preparing meals or food boxes.",Food
"Hurricane Sandy : Chinatown Black Market Emerges As Vendors Hawk Batteries , Candles , Outlets - http : //t.co/WL2S8Hsb # chinatown # Washington",None
"5 boxes - food , household items ( including cleaning supplies ) , hats , scarves , gloves , men 's & women 's clothing. Please contact * * * * * * * * * * * * * * * * * * * * * * * * *",Food
OMG hurricane sandy ! We 're all dead ! ...... Like stfu already !,None
"baby girl clothes size 0-9 months , baby wash , burp cloths , formula , diapers , body wash , soap , shampoo , canned goods.",Food
hot food and hot soup,Food
"Drinking water , canned food , peanut butter , bread , toilet paper",Food
I just read on The Huffington Post that you might need help delivering water and food to seniors and others. I can get to Red Hook so I 'm happy to help.,Food
So battery park is flooded but there 's no rain on the UES .... this doesn 't make sense. # Sandy http : //t.co/ssad9Tbi,None
# 911 is overloaded in NYC currently. Please stop calling for food and vodka. # sandy,None
"Hunkered down for Hurricane Sandy ... Windchimes are clanging ... Got food , water , kittehs , batteries & amp ; chocolate. http : //t.co/ZFCNmwEL",Food
"Times are tough after # Sandy. No power , no heat , running out of working gas stations , but at l @ DOLLAR TREE http : //t.co/t0qZ7JOU",Energy
"Hamilton-Madison House , Inc. and Two Bridges Neighborhood Council , Inc. will host a Gathering and Warming Center located at * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * in the gym from Wednesday , November 7th till Sunday , November 11th from the hours of 8am till 5pm. Many residents of the Lower East Side are still without power , water and or heat ! This warming Center is in need of supplies which are list ... ed below : * Water – Both single bottles and the 5 gallon water cooler bottles * Water Cooler with Hot and Cold Knobs Flashlights Batteries Instant coffee , tea and hot coco Instant Cremer/Powered Milk Sugar and sweet and low Instant Soup/Cup a noodle soup Non-Perishable Foods Any type of pet food ( cats , dogs , birds ) Any type of Cat Little Toilet Paper , Paper towels , Napkins Hand and Body Wipes , Hand and Body Sanitizer Any basic toiletries and Hygiene Products Coats , gloves , hats , etc. * Highly Needed If you would like to donate supplies , please drop them off at * * * * * * * * * * * * * * * * * * . If you have any questions , you can contact me at * * * * * * * * * * * * * * * * * * * * * * * .",Food
"I can donate non-perishable food , provide hot meal , donate toys or hygiene products.",Food
I have a large group from my church ready to donate money clothes food and other necessary things this weekend,Food
Able to cook and provide food or help at shelters,Food
Power has been out for about 24 hours yet I still turn the lights on when I go into a room. # habit # nolights # nycissleeping # HurricaneSandy,Energy
"Baby formula. 3 x 32 oz bottles similac sensitive ready made formula , 1x 2.13 lb & 3 x 12.6 oz containers similac sensitive powder formula.",Food
"# Sandy is a blessing for businesses. Everybody is out , buying foods , water and whatsoever they need. # economy # NYC",None
